Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Multisport,2023-06-08 07:43:01,False,Stonington Multisport,2.53,"1,583",02:02:14,0,185,4.7,--,--,1.2,--,162,172,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,02:11:46,-289,-199
Indoor Rowing,2023-05-28 08:34:47,False,Indoor Rowing,--,628,01:14:42,136,196,3.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,936,0,0,0,--,0:00,80.6,0:00,No,01:14:42.48,1,84.2,27,13,43,--,--,--,--,00:00:00,01:14:42,--,--
Indoor Rowing,2023-05-24 08:18:22,False,Indoor Rowing,--,533,01:11:51,127,184,2.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1185,0,0,0,--,0:00,71.6,0:00,No,01:11:50.73,1,80.6,24,13,42,--,--,--,--,00:00:00,01:11:51,--,--
Indoor Rowing,2023-05-23 08:11:15,False,Indoor Rowing,--,531,01:09:24,128,193,2.9,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1123,0,0,0,--,0:00,71.6,0:00,No,01:09:23.69,1,78.8,24,14,38,--,--,--,--,00:00:00,01:09:24,--,--
Indoor Rowing,2023-05-18 07:34:03,False,Indoor Rowing,--,"1,057",02:13:23,132,189,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1984,0,0,0,--,0:00,62.6,0:00,No,02:13:22.76,1,77.0,25,12,45,--,--,--,--,00:00:00,02:13:23,--,--
Indoor Rowing,2023-05-16 15:00:01,False,Indoor Rowing,--,551,01:18:07,118,163,1.7,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,743,0,0,0,--,0:00,82.4,0:00,No,01:18:07.40,1,93.2,22,11,37,--,--,--,--,00:00:00,01:18:07,--,--
Indoor Rowing,2023-05-16 08:42:39,False,Indoor Rowing,--,655,01:04:07,137,171,2.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1139,0,0,0,--,0:00,71.6,0:00,No,01:04:06.58,1,80.6,26,12,41,--,--,--,--,00:00:00,01:04:07,--,--
Indoor Rowing,2023-05-09 06:32:34,False,Indoor Rowing,--,676,01:16:48,132,163,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1221,0,0,0,--,0:00,57.2,0:00,No,01:16:47.90,1,66.2,23,14,40,--,--,--,--,00:00:00,01:16:48,--,--
Indoor Rowing,2023-05-07 08:51:24,False,Indoor Rowing,--,644,01:32:00,123,190,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1163,0,0,0,--,0:00,75.2,0:00,No,01:32:00.05,1,89.6,24,13,44,--,--,--,--,00:00:00,01:32:00,--,--
Indoor Rowing,2023-05-06 08:16:14,False,Indoor Rowing,--,733,01:34:42,131,187,2.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1268,0,0,0,--,0:00,71.6,0:00,No,01:34:42.09,1,80.6,25,13,42,--,--,--,--,00:00:00,01:34:42,--,--
