Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Yoga,2023-07-01 09:08:54,false,"Yoga","--","25","00:04:38.2","106","117","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","80.6","0:00","No","04:38.16","1","82.4","14","12","17","-2","95","93","95","00:04:38.2","00:04:38.2","--","--"
Running,2023-07-01 07:57:13,false,"Stonington Running","4.01","565","00:36:11","164","177","3.1","155","162","9:02","7:25","201","183","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:02.10","5","84.2","33","22","43","--","--","--","--","00:36:05","00:44:25","29","109"
Yoga,2023-06-30 11:52:59,false,"Yoga","--","2","00:00:49.0","90","94","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","84.2","0:00","No","00:48.97","1","84.2","12","12","15","--","--","--","--","00:00:49.0","00:00:49.0","--","--"
Strength Training,2023-06-30 09:46:48,false,"Strength","0.00","120","00:22:14","99","129","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","5","2","0:00","80.6","0:00","No","22:13.58","1","82.4","--","--","--","--","--","--","--","00:22:11","00:22:14","--","--"
Indoor Rowing,2023-06-30 08:19:41,false,"Indoor Rowing","--","553","00:47:29","144","164","2.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","957","0","0","0","--","0:00","80.6","0:00","No","47:29.05","1","84.2","28","14","36","--","--","--","--","00:00:00","00:47:29","--","--"
Indoor Cycling,2023-06-29 09:45:19,false,"Indoor Cycling","0.00","1,540","02:11:45","146","174","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","02:11:45.24","1","87.8","32","22","41","--","--","--","--","00:00:00","02:25:29","--","--"
Strength Training,2023-06-28 12:46:30,false,"Strength","0.00","126","00:32:54","87","117","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","80.6","0:00","No","32:54.10","1","82.4","--","--","--","--","--","--","--","00:32:54","00:32:54","--","--"
Running,2023-06-28 11:02:54,false,"Stonington Running","6.06","886","01:00:45","165","176","3.4","151","159","10:02","7:08","249","249","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","00:34.36","7","86.0","34","22","42","--","--","--","--","01:00:38","01:04:25","26","108"
Yoga,2023-06-27 09:07:41,false,"Yoga","--","--","00:02:48.8","72","72","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","84.2","0:00","No","02:48.75","1","86.0","14","12","15","--","--","--","--","00:02:48.8","00:02:48.8","--","--"
Indoor Rowing,2023-06-27 08:30:20,false,"Indoor Rowing","--","359","00:22:13","170","185","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","518","0","0","0","--","0:00","78.8","0:00","No","22:13.41","1","84.2","35","22","42","--","--","--","--","00:00:00","00:22:13","--","--"
