Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Yoga,2023-07-28 11:55:08,false,"Yoga","--","3","00:07:25.2","73","77","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","07:25.21","1","84.2","14","12","18","0","19","19","19","19","00:07:25.2","00:07:25.2","--","--"
Strength Training,2023-07-28 11:24:56,false,"Strength","0.00","4","00:29:54","77","110","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","10","1","0:00","82.4","0:00","No","29:54.34","1","84.2","21","21","21","--","--","--","--","--","00:29:54","00:29:59","--","--"
Running,2023-07-28 10:41:31,false,"Stonington Running","2.22","317","00:20:10","167","180","2.8","155","180","9:04","7:36","56","53","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","87.8","0:00","No","01:53.27","3","93.2","35","20","40","--","--","--","--","--","00:20:09","00:20:26","31","55"
Indoor Cycling,2023-07-27 07:29:39,false,"Indoor Cycling","0.00","1,627","02:23:34","144","172","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","02:23:33.57","1","84.2","32","20","40","--","--","--","--","--","00:00:00","02:36:40","--","--"
Strength Training,2023-07-26 13:43:16,false,"Strength","0.00","131","00:25:01","98","115","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","9","1","0:00","80.6","0:00","No","25:01.34","1","82.4","--","--","--","--","--","--","--","--","00:25:01","00:25:01","--","--"
Running,2023-07-26 08:24:42,false,"Stonington Running","5.26","762","00:54:14","162","174","3.1","152","159","10:19","7:40","205","221","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","02:57.70","6","87.8","35","19","48","--","--","--","--","--","00:54:01","00:56:59","16","108"
Indoor Rowing,2023-07-25 11:05:10,false,"Indoor Rowing","--","1,248","01:41:45","154","195","3.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1849","0","0","0","--","0:00","84.2","0:00","No","01:41:44.92","1","87.8","31","16","47","--","--","--","--","--","00:00:00","01:41:45","--","--"
Yoga,2023-07-24 15:29:23,false,"Yoga","--","--","00:00:03.7","78","79","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","00:03.65","1","82.4","--","--","--","--","--","--","--","--","00:00:03.7","00:00:03.7","--","--"
Strength Training,2023-07-24 14:42:46,false,"Strength","0.00","258","00:46:18","103","127","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","12","1","0:00","80.6","0:00","No","46:18.15","1","87.8","--","--","--","--","--","--","--","--","00:46:18","00:46:18","--","--"
Indoor Rowing,2023-07-24 08:10:08,false,"Indoor Rowing","--","1,057","01:24:50","153","169","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1909","0","0","0","--","0:00","80.6","0:00","No","01:24:49.82","1","86.0","28","19","40","--","--","--","--","--","00:00:00","01:24:50","--","--"
